rank;word;freq;#texts;%caps;blog;web;TVM;spok;fic;mag;news;acad;blogPM;webPM;TVMPM;spokPM;ficPM;magPM;newsPM;acadPM
1;the;50074257;483041;0,11;6272412;7101104;3784652;5769026;6311500;6805845;6582642;7447070;50480,69;55212,83;29550,39;45736,71;53341,69;53975,61;54070,43;62167,47
2;to;25557793;478977;0,02;3579158;3590504;2911924;3427348;2871517;3185583;3013501;2978222;28805,25;27917,05;22736,17;27171,94;24268,65;25264,13;24753,18;24861,93
3;and;24821791;478727;0,09;3211226;3458960;1828166;3325442;3064047;3305598;2995111;3633119;25844,11;26894,26;14274,24;26364,03;25895,82;26215,95;24602,12;30328,95
4;of;23605964;478144;0,01;2952017;3462140;1486604;2678416;2330823;3285187;2893200;4517563;23757,98;26918,99;11607,33;21234,42;19698,97;26054,07;23765,01;37712,21
5;a;21889251;477421;0,05;2783458;2827106;2519099;2716641;2749208;3104298;2959649;2229222;22401,41;21981,44;19669,01;21537,47;23234,95;24619,48;24310,83;18609,35
6;in;16560377;473373;0,08;2003430;2257672;1225718;2020330;1671503;2310522;2355671;2699192;16123,71;17553,96;9570,35;16017,13;14126,72;18324,22;19349,70;22532,61
7;i;14722307;360928;0,99;1967623;1525967;4928393;2283887;2191707;870774;676651;268509;15835,53;11864,77;38480,66;18106,60;18523,23;6905,91;5558,07;2241,49
8;that;13441314;456949;0,09;1902755;1764899;1854227;2646195;1225729;1406472;1271538;1369482;15313,47;13722,52;14477,72;20978,97;10359,26;11154,41;10444,53;11432,31
9;you;12060967;366116;0,20;1226361;1095361;5038208;2235461;1238163;728183;388176;111007;9869,82;8516,70;39338,09;17722,68;10464,34;5775,05;3188,51;926,68
10;it;11111285;445176;0,24;1497546;1349732;2345547;1903543;1414096;1068202;952478;580128;12052,33;10494,50;18313,92;15091,25;11951,24;8471,67;7823,74;4842,86
11;is;10173313;456138;0,03;1705824;1645306;1252167;1616192;592424;1145766;1055305;1138243;13728,56;12792,66;9776,86;12813,13;5006,88;9086,81;8668,37;9501,95
12;for;8498936;459878;0,06;1205470;1211773;858418;972605;774281;1148699;1159494;1168188;9701,68;9421,83;6702,49;7710,79;6543,84;9110,07;9524,19;9751,93
13;on;6901553;453943;0,04;910576;902676;894617;901946;858153;872166;858643;702750;7328,36;7018,53;6985,13;7150,61;7252,69;6916,95;7052,97;5866,49
14;was;6851383;393239;0,01;703849;763301;842344;1017215;1461052;711967;757247;594373;5664,61;5934,85;6576,98;8064,46;12348,09;5646,45;6220,10;4961,77
15;he;6469768;331701;0,30;519982;638937;913045;975180;1671986;652040;871382;227210;4184,84;4967,89;7129,01;7731,21;14130,80;5171,18;7157,61;1896,73
16;with;6444400;447773;0,04;833534;862490;642753;729313;804493;923178;823478;825159;6708,32;6706,07;5018,59;5781,98;6799,18;7321,51;6764,12;6888,35
