,id,url,author,title,rating,archive_warnings,categories,fandoms,relationships,characters,additional_tags,language,series,published,completed,words,chapters,comments,kudos,bookmarks,hits,standardised_ttr_250,standardised_ttr_500,standardised_ttr_1000,standardised_ttr_4000,honore_h_250,honore_h_500,honore_h_1000,honore_h_4000,sentence_length_mean,sentence_length_median,lexical_density,complexity_stats,known_word_ratio
0,1001802,https://archiveofourown.org/works/1001802?view_full_work=true,['apocryphal'],Inertia,Mature,['No Archive Warnings Apply'],"['Gen', 'M/M']",['Teen Wolf (TV)'],"['Derek Hale & Stiles Stilinski & Cora Hale', 'Cora Hale & Derek Hale', 'Derek Hale/Stiles Stilinski', 'Cora Hale & Stiles Stilinski']","['Derek Hale', 'Stiles Stilinski', 'Cora Hale', 'Lydia Martin', 'Sheriff Stilinski', 'Scott McCall', 'Tara Graeme']","['Post 3a', 'Road Trips', 'Running Away', 'Healing', 'Emotional Hurt/Comfort', 'Emotional Baggage', 'Angst', 'Fluff', 'Bonding', 'Sibling Bonding', 'Panic Attacks', 'Nightmares', 'Nemeton', 'beta!derek', 'Stilinski Family Feels', 'Hale Family Feels', 'ADHD', 'Slow Burn', 'Friendship']",English,,2013-10-13,,21608,1/1,355,10105,2937,125587,0.6219148936170212,0.5296595744680851,0.4439565217391304,0.2915,2177.5950958409667,2158.3748802516902,2160.866359542185,2184.0849704391594,14.77186878727634,11.0,0.3339374085174601,"{'total_words': 23732, 'known_words': 19217, 'unknown_words': 4515, 'known_word_ratio': 0.8097505477835834, 'average_rank': 728.3352726762932}",0.8097505477835834
1,10047632,https://archiveofourown.org/works/10047632?view_full_work=true,['BreakTheDawn'],So Here's what You're Not Going to Do,Not Rated,['No Archive Warnings Apply'],['Gen'],['Voltron: Legendary Defender'],"['Hunk & Lance (Voltron)', 'Keith & Lance (Voltron)', 'Lance & Shiro (Voltron)', 'Lance & Pidge | Katie Holt', 'Lance & Voltron Paladins', 'Allura & Lance (Voltron)', 'Coran & Lance (Voltron)']","['Lance (Voltron)', 'Hunk (Voltron)', 'Keith (Voltron)', 'Pidge (Voltron)', 'Shiro (Voltron)', 'Coran (Voltron)', 'Allura (Voltron)', 'Blue Lion (Voltron)']","['Lance (Voltron) Angst', 'Bilingual Lance (Voltron)', 'Lance (Voltron) is a Mess', 'Family', 'Hunk & Lance (Voltron) Friendship', 'Protective Shiro (Voltron)', 'Space Uncle Coran (Voltron)', 'Female Pronouns for Pidge | Katie Holt', 'Italics', 'Socially Awkward Keith (Voltron)']",English,Part 2 of A Song of Storm and Ice,2017-03-02,2017-03-16,32687,12/12,820,7764,1534,105604,0.6187323943661972,0.5177464788732394,0.4254285714285714,0.2733125,2088.219454444162,2005.350422013019,1989.129864465027,2024.244681570381,12.92477341389728,10.0,0.3334541763341067,"{'total_words': 35558, 'known_words': 29433, 'unknown_words': 6125, 'known_word_ratio': 0.8277462174475505, 'average_rank': 726.7341775034731}",0.8277462174475505
2,10112591,https://archiveofourown.org/works/10112591?view_full_work=true,['jilliancares'],Flutterflies,Not Rated,['Creator Chose Not To Use Archive Warnings'],['M/M'],['Harry Potter - J. K. Rowling'],['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Ron Weasley']","['Drarry', 'Harry Potter - Freeform', 'does anyone REALLY know how to tag things???', 'Friends to Lovers', 'Enemies to Friends to Lovers', 'friends in first year']",English,,2017-03-05,,14617,1/1,266,11455,1866,119557,0.6061290322580645,0.5152903225806452,0.4328666666666667,0.2816666666666667,2150.2711194312706,2149.8021897742497,2173.373562391784,2079.4222705322863,17.101555352241537,16.0,0.3361585030269675,"{'total_words': 15675, 'known_words': 12993, 'unknown_words': 2682, 'known_word_ratio': 0.8288995215311005, 'average_rank': 740.7889530090685}",0.8288995215311005
3,1012182,https://archiveofourown.org/works/1012182?view_full_work=true,['Sarcasmcat'],Eastern Homecomings,Not Rated,['Creator Chose Not To Use Archive Warnings'],['M/M'],"['The Hobbit - All Media Types', 'The Hobbit - J. R. R. Tolkien']",['Bilbo Baggins/Thorin Oakenshield'],"['Bilbo Baggins', 'Thorin Oakenshield', 'Frodo Baggins', 'Gandalf', 'Elrond', 'Thranduil', ""Thorin's Company"", 'Dís']","['Mpreg', 'Alternate Universe - Canon Divergence']",English,,2013-10-21,2016-10-15,48480,18/18,401,7335,1687,160287,0.6188878048780487,0.5321764705882354,0.4486862745098039,0.2945208333333333,2413.7547804711926,2408.198903830672,2320.794551396101,2126.0314449474586,18.1171875,17.0,0.3927028749468914,"{'total_words': 51469, 'known_words': 42614, 'unknown_words': 8855, 'known_word_ratio': 0.8279546911733277, 'average_rank': 784.95713466501}",0.8279546911733277
4,1018539,https://archiveofourown.org/works/1018539?view_full_work=true,['dangerbears'],harder to hide than i thought,Not Rated,['Creator Chose Not To Use Archive Warnings'],['M/M'],['One Direction (Band)'],['Harry Styles/Louis Tomlinson'],"['Harry Styles', 'Louis Tomlinson', 'Gemma Styles']",[],English,,2013-10-26,,6494,1/1,127,6330,1129,97107,0.6178571428571429,0.5205714285714286,0.43,0.275,2213.2773438800696,2163.2421174123087,2095.0821194066334,2054.832118043295,12.06507304116866,10.0,0.329337899543379,"{'total_words': 7162, 'known_words': 5724, 'unknown_words': 1438, 'known_word_ratio': 0.7992180955040491, 'average_rank': 795.7264327485381}",0.7992180955040491
5,1019956,https://archiveofourown.org/works/1019956?view_full_work=true,['s0mmerspr0ssen'],cast out fear,Mature,['Graphic Depictions Of Violence'],['M/M'],['Star Trek: Alternate Original Series (Movies)'],"['James T. Kirk/Spock', 'James T. Kirk Prime/Spock Prime']","['Amanda Grayson', 'Sarek', 'Leonard McCoy']","['Minor Character Death', 'Aftermath of Torture', 'Post-Traumatic Stress Disorder - PTSD', 'Angst', 'Hurt/Comfort', 'Vulcan-centric', 'Big Bang Challenge', 'Alternate Universe - Canon Divergence']",English,,2013-10-27,2013-10-27,42268,7/7,429,10080,3097,164889,0.6493636363636364,0.5535909090909091,0.4662954545454545,0.3078181818181818,2450.27213612522,2369.892665166913,2324.905888943593,2165.6646025232453,16.101458080194412,14.0,0.3588340342185609,"{'total_words': 44207, 'known_words': 36576, 'unknown_words': 7631, 'known_word_ratio': 0.8273802791413125, 'average_rank': 807.6135255029727}",0.8273802791413125
6,1022464,https://archiveofourown.org/works/1022464?view_full_work=true,['ShanaStoryteller'],a man may make a remark,Explicit,"['Creator Chose Not To Use Archive Warnings', 'No Archive Warnings Apply']","['F/M', 'M/M']",['Teen Wolf (TV)'],"['Derek Hale/Stiles Stilinski', 'Lydia Martin/Jackson Whittemore', 'Allison Argent/Scott McCall', 'Cory Hale/Isaac Lahey']","['Stiles Stilinski', 'Derek Hale', 'Scott McCall', 'Lydia Martin', 'Jackson Whittemore', 'Danny Māhealani', 'Allison Argent', 'Cora Hale', 'Cory Hale', 'Isaac Lahey', 'Erica Reyes', 'Vernon Boyd', 'Peter Hale', 'Sheriff Stilinski', 'Talia Hale', 'Laura Hale', 'Alan Deaton', 'OCs']","[""guys it's finally here"", 'THE STEREK IS REAL', 'they have sex', 'Magic Stiles', 'BAMF Stiles', 'BAMF Allison', 'Artist Derek', 'gratuitous use of poetry', 'BAMF Scott', 'pretty much everyone is BAMF', 'look just read it okay', 'theres a unicorn named charlie']",English,"Part 4 of where thou art, that is home",2013-10-28,,33331,1/1,360,12647,1144,222015,0.6333150684931507,0.5370410958904109,0.44725,0.2895555555555555,2233.467590495111,2181.013192107768,2154.202860799514,2112.288256556485,20.637130801687764,18.0,0.3420039218465754,"{'total_words': 36727, 'known_words': 30093, 'unknown_words': 6634, 'known_word_ratio': 0.8193699458164293, 'average_rank': 769.3088314365086}",0.8193699458164293
7,10263101,https://archiveofourown.org/works/10263101?view_full_work=true,['ShanaStoryteller'],crust and sugar over,Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],['Yuri!!! on Ice (Anime)'],"['Katsuki Yuuri & Yuri Plisetsky', 'Katsuki Yuuri/Victor Nikiforov']","['Katsuki Yuuri', 'Yuri Plisetsky', 'Victor Nikiforov', 'Christophe Giacometti', 'Phichit Chulanont', 'Mila Babicheva', 'Yakov Feltsman', 'Celestino Cialdini', 'Georgi Popovich']","['yuuri and chris are BROS', ""also this fic is very heavy in yuri and yuuri broship so if that's not your thing be warned"", 'Fake/Pretend Relationship', 'eventually', 'hurt only for the sake of comfort', ""this fic isn't out to hurt you"", 'Idiots in Love']",English,,2017-03-13,2017-11-30,36012,4/4,1448,23699,8514,327014,0.6251,0.531025,0.44045,0.280275,2252.2492005455456,2194.908918920348,2142.243930294312,2078.148443883272,19.85273258239466,18.0,0.3309573418137954,"{'total_words': 40043, 'known_words': 33455, 'unknown_words': 6588, 'known_word_ratio': 0.835476862372949, 'average_rank': 750.1259649404954}",0.835476862372949
8,1035300,https://archiveofourown.org/works/1035300?view_full_work=true,['mysecretashes'],"Dude, Werewolves",Explicit,['Underage'],['M/M'],['Teen Wolf (TV)'],['Derek Hale/Stiles Stilinski'],"['Stiles Stilinski', 'Derek Hale', 'Cora Hale', 'Scott McCall', 'Sheriff Stilinski']","['Cora Hale & Stiles Stilinski Friendship', 'Alternate Universe - No Hale Fire', 'Getting Together', 'First Time', 'Scent Marking', 'Semi-Public Sex', 'Oral Sex', 'Anal Sex', 'Loss of Virginity', 'Frottage']",English,,2013-11-22,,29623,1/1,331,24535,6770,396868,0.6311007751937985,0.53140625,0.44078125,0.27715625,2239.858775083071,2145.297829157451,2110.075747766208,1969.5277210612176,15.601574803149608,14.0,0.345055919080268,"{'total_words': 32253, 'known_words': 26410, 'unknown_words': 5843, 'known_word_ratio': 0.8188385576535516, 'average_rank': 777.3895425166633}",0.8188385576535516
9,10438683,https://archiveofourown.org/works/10438683?view_full_work=true,['Sharleena'],Only breathing,Mature,['Creator Chose Not To Use Archive Warnings'],['M/M'],['방탄소년단 | Bangtan Boys | BTS'],['Min Yoongi | Suga/Park Jimin'],"['Min Yoongi | Suga', 'Park Jimin (BTS)', 'Kim Taehyung | V', 'Jeon Jungkook', 'Kim Namjoon | Rap Monster', 'Kim Seokjin | Jin', 'Jung Hoseok | J-Hope']","['Alternate Universe - Gangsters', 'Alternate Universe - Criminals', 'Violence', 'Drugs', 'Drug Use', 'Non-Consensual Drug Use', 'Explicit Language', 'Gunplay', 'Implied/Referenced Rape/Non-con', 'Sexual Abuse', 'Dubious Consent', 'Druglord!Yoongi', 'Prostitute Park Jimin', 'Disturbing Themes', 'Angst', 'side vkook', 'Physical Abuse', 'This work has been translated to Russian', 'Fluff and Angst', 'Fluff']",English,Part 1 of Just Breathe,2017-03-25,,26461,1/1,324,9497,2370,177497,0.5987692307692307,0.5033103448275862,0.4102758620689655,0.2521071428571428,2014.0172755185088,1999.315613139045,1938.935849533224,1861.4526076351408,15.504255319148935,14.0,0.3362667504785851,"{'total_words': 29336, 'known_words': 23843, 'unknown_words': 5493, 'known_word_ratio': 0.812755658576493, 'average_rank': 752.1833918786006}",0.812755658576493
